id_n,WT2016,WT2017,WT2018,WT2019,WT2020,WT2021,WT2022,WT2023,WT2024,WT2025,WT2026,WT2027,WT2028,WT2029,WT2030
3020020710032.0,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328
3020020710043.0,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328
3020020710049.0,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328
3020020710060.0,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328
3020020710065.0,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328
3020020710071.0,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328,46.41328
3020021320010.0,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422
3020021320020.0,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422
3020021320029.0,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422
3020021320047.0,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422
3020021320057.0,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422
3020021320075.0,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422
3020021320085.0,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422
3020021320094.0,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422
3020021320112.0,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422
3020021320122.0,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422,98.33422
3020030520004.0,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181
3020030520011.0,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181
3020030520026.0,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181
3020030520034.0,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181
3020030520041.0,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181
3020030520056.0,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181
3020030520063.0,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181
3020030520078.0,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181
3020030520086.0,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181
3020030520093.0,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181,38.95181
3020030920005.0,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287
3020030920011.0,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287
3020030920024.0,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287
3020030920031.0,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287
3020030920043.0,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287
3020030920050.0,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287,54.249287
